FTL_Bronze_Column,FTL_Data_Type,PI_Silver_Column,PI_Silver_Table,PI_Gold_Column,PI_Gold_Table,Classification,Confidence,Mapping_Reason,BR_ID,GAP_ID,Transformation,Notes
OS,TEXT,—,—,—,—,NEW_CAPABILITY,Medium,No column in PI schema tracks operating system; sample data shows limited variance (single value),—,—,—,Low cardinality in sample; may need validation
IS_ACTIVE,BOOLEAN,IS_ACTIVE_ACCOUNT,SLV_CONSOLIDATED_USAGE,—,—,SEMANTIC_MATCH,High,Boolean flag matches Silver IS_ACTIVE_ACCOUNT semantically; used to filter active accounts/users in aggregations,"BR-004, BR-005",—,—,Used in WHERE clauses for active entity counts
CLUSTER,TEXT,—,—,REGION,GLD_AGGREGATE,SEMANTIC_MATCH + VALUE_MAPPING,Medium,AWS cluster identifiers (eu-central-1/ap-south-1/us-east-1) map to business regions (EMEA/APAC/NAMER); mapping table required,BR-002,—,"CASE WHEN CLUSTER = 'eu-central-1' THEN 'EMEA' WHEN CLUSTER = 'ap-south-1' THEN 'APAC' WHEN CLUSTER = 'us-east-1' THEN 'NAMER' ELSE 'UNKNOWN' END",Requires validation of complete cluster-to-region mapping
DATA_DATE,TEXT,"DATE","SLV_USAGE_MASTER, SLV_CONSOLIDATED_USAGE",DATE,GLD_AGGREGATE,DATA_TYPE_CHANGE,Low,Semantic match to date dimension but stored as TEXT format 5/29/26 13:01; requires parsing and conversion to DATE type,BR-001,—,"TO_DATE(DATA_DATE, 'M/D/YY HH24:MI')",Date format validation needed; LOW CONFIDENCE on format string
—,—,ACCOUNT_FIRST_ACTIVE,SLV_USAGE_MASTER,—,—,GAP,High,No column in FTL provides historical account activation timestamp; requires separate lookup table,—,GAP-004,No FTL source available,Build from historical data or accept NULL
—,—,USER_FIRST_ACTIVE,SLV_USAGE_MASTER,—,—,GAP,High,No column in FTL provides historical user activation timestamp; requires separate lookup table,—,GAP-005,No FTL source available,Build from historical data or accept NULL
—,—,CHAT_SESSIONS,SLV_USAGE_MASTER,—,—,GAP,High,FTL shows Chat in MODALITY but provides no chat session count metric,—,GAP-006,No FTL source available,Confirm if metric exists in separate FTL table
—,—,SLA_ACHIEVED_SESSIONS,SLV_USAGE_MASTER,—,—,GAP,High,No SLA performance data available in FTL source,—,GAP-007,No FTL source available,Determine if SLA tracking is available elsewhere
—,—,VIDEO_USAGE,SLV_MONTHLY_METRICS,—,—,GAP,High,FTL shows Video in CHANNEL but provides no video usage duration metric,—,GAP-008,No FTL source available,Confirm if video duration can be added to FTL
—,—,—,—,SEGMENT,GLD_AGGREGATE,GAP,High,No customer segment classification available in FTL; critical business dimension missing,—,GAP-001,No FTL source available,BLOCKING — Must be resolved before Gold migration
—,—,—,—,IS_LICENSED,GLD_AGGREGATE,GAP,High,No licensing status indicator available in FTL; critical business dimension missing,—,GAP-002,No FTL source available,BLOCKING — Must be resolved before Gold migration
—,—,—,—,USERS_ACTIVE_16PLUS_DAYS,GLD_AGGREGATE,GAP,High,FTL provides point-in-time data only; no historical activity tracking for 16+ day calculation,—,GAP-003,No FTL source available,BLOCKING — Requires historical tracking layer
