FTL_Bronze_Column,FTL_Data_Type,PI_Silver_Column,PI_Silver_Table,PI_Gold_Column,PI_Gold_Table,Classification,Confidence,Mapping_Reason,BR_ID,GAP_ID,Transformation,Notes
—,—,REFRESH_TIMESTAMP,SLV_ACCT_FIRST_ACTIVE + SLV_USER_FIRST_ACTIVE,—,—,SYSTEM_GENERATED,High,ETL metadata timestamp - generated at runtime not sourced from FTL,BR-018,—,CURRENT_TIMESTAMP(),Standard ETL metadata practice
—,—,PRODUCT_NAME,SLV_CONSOLIDATED_USAGE,—,—,STATIC_VALUE,High,No product dimension in FTL - hardcoded to 'ZCC Platform',BR-019,GAP-013,'ZCC Platform' AS PRODUCT_NAME,GAP-013: Static value since FTL is ZCC-specific
—,—,SOURCE_TABLE,SLV_COMBINED_CHANNELS,—,—,STATIC_VALUE,High,Lineage metadata - hardcoded to source table name,BR-020,GAP-014,'BRZ_FTL_AGENT_BASE_AGG' AS SOURCE_TABLE,GAP-014: Metadata field for tracking data origin
—,—,WINDOW,SLV_CONSOLIDATED_USAGE + SLV_DAILY_METRICS + SLV_MONTHLY_METRICS + SLV_WEEKLY_METRICS,—,—,DERIVED,Low,Rolling window indicator (R1/R7/R28) requires business rule definition for date range logic,BR-021,GAP-012,CASE WHEN date_diff = 1 THEN 'R1' WHEN date_diff <= 7 THEN 'R7' WHEN date_diff <= 28 THEN 'R28' END,GAP-012: Window logic requires validation with business
MODALITY,TEXT,CHAT_USAGE,SLV_DAILY_METRICS + SLV_ROLL_29_DAY_USAGE + SLV_WEEKLY_METRICS,—,—,CONDITIONAL_AGGREGATION,Low,Can filter MODALITY='Chat' but no duration data available - will return 0,BR-022,GAP-005,SUM(CASE WHEN MODALITY = 'Chat' THEN 0 ELSE 0 END),GAP-005: Chat duration not in FTL - placeholder logic
MODALITY,TEXT,CHAT_SESSIONS,SLV_USAGE_MASTER,—,—,CONDITIONAL_COUNT,Low,Can count chat engagements but session concept unclear in FTL granularity,BR-030,GAP-005,SUM(CASE WHEN MODALITY = 'Chat' THEN 1 ELSE 0 END),GAP-005: Session definition may not align with FTL grain
CHANNEL,TEXT,VIDEO_USAGE,SLV_MONTHLY_METRICS,—,—,CONDITIONAL_AGGREGATION,Low,Can filter CHANNEL='Video' but no duration data available - will return 0,BR-023,GAP-006,SUM(CASE WHEN CHANNEL = 'Video' THEN 0 ELSE 0 END),GAP-006: Video duration not in FTL - placeholder logic
—,—,ENGAGEMENT_STATUS,SLV_COMBINED_CHANNELS,—,—,GAP,High,No status field (Missed Resolved Answered) in FTL source,BR-024,GAP-007,NULL AS ENGAGEMENT_STATUS,GAP-007: Requires FTL enhancement or external data
—,—,SLA_ACHIEVED,SLV_COMBINED_CHANNELS,—,—,GAP,High,No SLA compliance tracking in FTL,BR-025,GAP-008,NULL AS SLA_ACHIEVED,GAP-008: Requires SLA target data and calculation logic
—,—,SLA_ACHIEVED_SESSIONS,SLV_USAGE_MASTER,—,—,GAP,High,No SLA session count available in FTL,BR-026,GAP-008,NULL AS SLA_ACHIEVED_SESSIONS,GAP-008: Same gap as SLA_ACHIEVED
—,—,IS_PAID_USER,SLV_ROLL_29_DAY_USAGE,—,—,GAP,High,No payment/subscription status in FTL,BR-027,GAP-009,NULL AS IS_PAID_USER,GAP-009: Requires billing system data join
—,—,ACTIVE_DAYS_LAST_7,SLV_ROLL_29_DAY_USAGE,—,—,GAP,High,Rolling 7-day window requires 7+ days of historical FTL data,BR-028,GAP-010,NULL AS ACTIVE_DAYS_LAST_7,GAP-010: Historical data accumulation required
—,—,ACTIVE_DAYS_LAST_28,SLV_ROLL_29_DAY_USAGE,—,—,GAP,High,Rolling 28-day window requires 28+ days of historical FTL data,BR-029,GAP-010,NULL AS ACTIVE_DAYS_LAST_28,GAP-010: Historical data accumulation required
—,—,USERS_ACTIVE_1_DAY,SLV_DAILY_METRICS,—,—,GAP,High,Activity cohort requires historical tracking and cohort classification logic,BR-031,GAP-011,NULL AS USERS_ACTIVE_1_DAY,GAP-011: Cohort business rules not yet implemented
—,—,USERS_ACTIVE_4_7_DAYS,SLV_WEEKLY_METRICS,—,—,GAP,High,Activity cohort requires historical tracking and cohort classification logic,BR-032,GAP-011,NULL AS USERS_ACTIVE_4_7_DAYS,GAP-011: Cohort business rules not yet implemented
—,—,ACTIVE_1_DAY_L7,SLV_USER_ACTIVE_DAYS,—,—,GAP,High,Rolling window + activity cohort - requires historical data and cohort logic,—,GAP-011,NULL AS ACTIVE_1_DAY_L7,GAP-011: Historical + cohort logic required
—,—,ACTIVE_4_7_DAYS_L7,SLV_USER_ACTIVE_DAYS,—,—,GAP,High,Rolling window + activity cohort - requires historical data and cohort logic,—,GAP-011,NULL AS ACTIVE_4_7_DAYS_L7,GAP-011: Historical + cohort logic required
—,—,ACTIVE_1_DAY_L28,SLV_USER_ACTIVE_DAYS,—,—,GAP,High,Rolling window + activity cohort - requires historical data and cohort logic,—,GAP-011,NULL AS ACTIVE_1_DAY_L28,GAP-011: Historical + cohort logic required
—,—,ACTIVE_16PLUS_DAYS_L28,SLV_USER_ACTIVE_DAYS,—,—,GAP,High,Rolling window + activity cohort - requires historical data and cohort logic,—,GAP-011,NULL AS ACTIVE_16PLUS_DAYS_L28,GAP-011: Historical + cohort logic required
—,—,USERS_ACTIVE_16PLUS_DAYS,SLV_MONTHLY_METRICS,USERS_ACTIVE_16PLUS_DAYS,GLD_AGGREGATE,GAP,High,16+ day activity cohort requires 28+ days historical data and cohort logic - BLOCKS GOLD MIGRATION,BR-033,"GAP-004, GAP-011",NULL AS USERS_ACTIVE_16PLUS_DAYS,GAP-004: Critical Gold metric - migration blocked
—,—,—,—,SEGMENT,GLD_AGGREGATE,GAP,High,No customer segment classification data in FTL - BLOCKS GOLD MIGRATION,BR-034,GAP-002,NULL AS SEGMENT,GAP-002: Requires external dimension table or manual classification
—,—,—,—,IS_LICENSED,GLD_AGGREGATE,GAP,High,No licensing/subscription status in FTL - BLOCKS GOLD MIGRATION,BR-035,GAP-003,NULL AS IS_LICENSED,GAP-003: Requires external billing data or subscription system integration
—,—,PHONE_DIALIN_COUNT,(mentioned in JIRA),—,—,GAP,N/A,JIRA CORTEX-2 flags this column as missing in FTL but column not found in PI Silver/Gold schema either - requires investigation,BR-036,GAP-001,NULL AS PHONE_DIALIN_COUNT,GAP-001: Verify column existence in production FTL and PI schemas
