FTL_Bronze_Column,FTL_Data_Type,PI_Silver_Column,PI_Silver_Table,PI_Gold_Column,PI_Gold_Table,Classification,Confidence,Mapping_Reason,BR_ID,GAP_ID,Transformation,Notes
IS_ACTIVE,BOOLEAN,IS_ACTIVE_ACCOUNT,"SLV_CONSOLIDATED_USAGE, SLV_DAILY_METRICS, SLV_MONTHLY_METRICS, SLV_WEEKLY_METRICS",—,—,SEMANTIC_MATCH,Medium,FTL provides IS_ACTIVE boolean; Silver expects IS_ACTIVE_ACCOUNT; semantic mapping assumes row-level activity flag represents account-level activity when aggregated,BR-010,—,IS_ACTIVE AS IS_ACTIVE_ACCOUNT,Semantic assumption: row activity = account activity
CLUSTER,TEXT,—,—,—,—,NEW_CAPABILITY,N/A,"FTL provides cluster/region dimension (eu-central-1, ap-south-1, us-east-1) not present in Silver; new geographic analysis capability; may map to future REGION field if added to Silver",—,—,N/A,New dimension for cluster/region analytics
DATA_DATE,TEXT,DATE,SLV_USAGE_MASTER,—,—,UNIT_CHANGE,Medium,"FTL provides timestamp as text string ('5/29/26 13:01'); Silver expects DATE type; requires parsing with TO_DATE(); semantic ambiguity: is this engagement timestamp or report date?",BR-011,GAP-024,"TO_DATE(DATA_DATE, 'M/D/YY HH24:MI')",Text → Date parsing; confirm semantics with BDP
DATA_DATE,TEXT,START_DATE,SLV_COMBINED_CHANNELS,—,—,UNIT_CHANGE,Medium,FTL provides timestamp as text; Silver expects DATE for engagement start date; requires parsing,BR-011,GAP-024,"TO_DATE(DATA_DATE, 'M/D/YY HH24:MI') AS START_DATE",Text → Date parsing; confirm semantics
DATA_DATE,TEXT,REPORT_DATE,"SLV_CONSOLIDATED_USAGE, SLV_DAILY_METRICS, SLV_MONTHLY_METRICS, SLV_ROLL_29_DAY_USAGE, SLV_USER_ACTIVE_DAYS, SLV_WEEKLY_METRICS",—,—,GRAIN_CHANGE,Medium,FTL provides single timestamp; Silver metrics tables require REPORT_DATE for aggregation reporting; requires date parsing and potential aggregation to daily grain,BR-012,—,"TO_DATE(DATA_DATE, 'M/D/YY HH24:MI') AS REPORT_DATE",Text → Date; aggregation grain shift
DATA_DATE,TEXT,ACCOUNT_FIRST_ACTIVE,SLV_ACCT_FIRST_ACTIVE,—,—,GRAIN_CHANGE,Medium,"Derived metric requiring MIN(DATA_DATE) grouped by ACCOUNT_ID across historical data; FTL provides daily snapshots but not historical first activity date",BR-014,GAP-019,MIN(TO_DATE(DATA_DATE)) OVER (PARTITION BY ACCOUNT_ID ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) AS ACCOUNT_FIRST_ACTIVE,Requires historical aggregation
—,—,REFRESH_TIMESTAMP,"SLV_ACCT_FIRST_ACTIVE, SLV_USER_FIRST_ACTIVE",—,—,GAP,High,System-generated metadata timestamp indicating table refresh time; not present in FTL source,BR-013,GAP-001,CURRENT_TIMESTAMP() AS REFRESH_TIMESTAMP,System-generated field
—,—,ACCOUNT_FIRST_ACTIVE,SLV_USAGE_MASTER,—,—,GAP,Medium,Derived metric requiring MIN(DATA_DATE) grouped by ACCOUNT_ID across historical data; requires join to INT_FTL_ACCOUNT_FIRST_DATES dimension table,BR-014,GAP-019,LEFT JOIN INT_FTL_ACCOUNT_FIRST_DATES ON ACCOUNT_ID,Requires historical dimension table
—,—,USER_FIRST_ACTIVE,"SLV_USER_FIRST_ACTIVE, SLV_USAGE_MASTER",—,—,GAP,Medium,Derived metric requiring MIN(DATA_DATE) grouped by AGENT_ID across historical data; requires join to INT_FTL_USER_FIRST_DATES dimension table,BR-015,GAP-020,LEFT JOIN INT_FTL_USER_FIRST_DATES ON AGENT_ID,Requires historical dimension table
—,—,ENGAGEMENT_STATUS,SLV_COMBINED_CHANNELS,—,—,GAP,High,FTL does not track engagement resolution status (Answered/Missed/Resolved/etc.),BR-016,GAP-002,NULL AS ENGAGEMENT_STATUS,No source available
—,—,SLA_ACHIEVED,SLV_COMBINED_CHANNELS,—,—,GAP,High,FTL does not contain SLA achievement flag,BR-017,GAP-003,NULL AS SLA_ACHIEVED,No SLA data in source
—,—,SOURCE_TABLE,SLV_COMBINED_CHANNELS,—,—,GAP,High,Metadata field identifying originating Bronze view; FTL is single table,BR-018,GAP-004,'BRZ_FTL_AGENT_BASE_AGG' AS SOURCE_TABLE,Hardcoded metadata
—,—,PRODUCT_NAME,SLV_CONSOLIDATED_USAGE,—,—,GAP,High,Product classification dimension not present in FTL,BR-019,GAP-005,'ZCC Platform' AS PRODUCT_NAME,Hardcoded; confirm with Zoom PM
—,—,WINDOW,"SLV_CONSOLIDATED_USAGE, SLV_DAILY_METRICS, SLV_MONTHLY_METRICS, SLV_WEEKLY_METRICS",—,—,GAP,High,"Reporting window classification (R1, R7, R28) for rolling period reports; requires business rule to explode single date row into multiple window rows",BR-020,GAP-006,CASE WHEN window_type = 'R1' THEN 'R1' WHEN window_type = 'R7' THEN 'R7' WHEN window_type = 'R28' THEN 'R28' END (requires CROSS JOIN to window dimension),Window logic needed
—,—,ACTIVE_USERS,"SLV_CONSOLIDATED_USAGE, SLV_DAILY_METRICS, SLV_MONTHLY_METRICS, SLV_WEEKLY_METRICS",—,—,GAP,Medium,Aggregated count of distinct active users per account/date/window; requires GROUP BY logic,BR-021,GAP-018,COUNT(DISTINCT AGENT_ID) WHERE IS_ACTIVE = TRUE,Aggregation required
—,—,CHAT_USAGE,"SLV_DAILY_METRICS, SLV_WEEKLY_METRICS",—,—,GAP,High,"FTL Bronze contains no chat activity metrics (duration, sessions, or message counts); cannot populate chat usage columns",BR-022,GAP-007,NULL AS CHAT_USAGE,No chat metrics in source
—,—,USERS_ACTIVE_1_DAY,SLV_DAILY_METRICS,—,—,GAP,Low,Count of users active exactly 1 day in reporting period; requires complex classification logic not derivable from single-day FTL grain,BR-023,GAP-012,NULL AS USERS_ACTIVE_1_DAY (or complex window function if historical data available),Low confidence derivation
—,—,VIDEO_USAGE,SLV_MONTHLY_METRICS,—,—,GAP,High,FTL Bronze contains no video activity metrics; cannot populate video usage column,BR-024,GAP-008,NULL AS VIDEO_USAGE,No video metrics in source
—,—,USERS_ACTIVE_16PLUS_DAYS,SLV_MONTHLY_METRICS,—,—,GAP,Low,Count of users active 16+ days in last 28 days; requires 28-day rolling window calculation not available in single-day FTL grain,BR-025,GAP-013,NULL AS USERS_ACTIVE_16PLUS_DAYS (requires historical rolling calculation),Requires historical data
—,—,IS_PAID_USER,SLV_ROLL_29_DAY_USAGE,—,—,GAP,High,Payment/licensing classification not present in FTL; requires join to billing dimension,BR-026,GAP-009,NULL AS IS_PAID_USER,No payment data in source
—,—,ACTIVE_DAYS_LAST_7,SLV_ROLL_29_DAY_USAGE,—,—,GAP,High,Count of active days in last 7 days requires 7-day rolling window calculation not available in single-day FTL grain,BR-027,GAP-010,NULL AS ACTIVE_DAYS_LAST_7 (requires historical rolling window table),Blocking: historical data needed
—,—,ACTIVE_DAYS_LAST_28,SLV_ROLL_29_DAY_USAGE,—,—,GAP,High,Count of active days in last 28 days requires 28-day rolling window calculation not available in single-day FTL grain,BR-028,GAP-011,NULL AS ACTIVE_DAYS_LAST_28 (requires historical rolling window table),Blocking: historical data needed
—,—,DAILY_CHAT_USAGE,SLV_ROLL_29_DAY_USAGE,—,—,GAP,High,Daily aggregated chat usage; same as GAP-007 — no chat metrics in FTL,BR-029,GAP-025,NULL AS DAILY_CHAT_USAGE,No chat metrics in source
—,—,WEEKLY_PHONE_USAGE,SLV_ROLL_29_DAY_USAGE,—,—,GAP,Medium,Weekly aggregated phone usage from INBOUND_PHONE_MS; requires weekly boundary definition (Sunday-Saturday? Rolling 7-day?),BR-030,GAP-026,SUM(INBOUND_PHONE_MS / 60000.0) OVER (PARTITION BY AGENT_ID ACCOUNT_ID ORDER BY DATA_DATE ROWS BETWEEN 6 PRECEDING AND CURRENT ROW),Weekly aggregation logic ambiguous
—,—,CHAT_SESSIONS,SLV_USAGE_MASTER,—,—,GAP,High,Count of chat sessions; no chat activity tracking in FTL,BR-031,GAP-007,NULL AS CHAT_SESSIONS,No chat metrics in source
—,—,SLA_ACHIEVED_SESSIONS,SLV_USAGE_MASTER,—,—,GAP,High,Count of sessions meeting SLA; no SLA tracking in FTL,BR-032,GAP-021,NULL AS SLA_ACHIEVED_SESSIONS,No SLA data in source
—,—,ACTIVE_1_DAY_L7,SLV_USER_ACTIVE_DAYS,—,—,GAP,High,Count of users active 1 day in last 7 days; requires historical rolling window calculation,BR-033,GAP-014,NULL AS ACTIVE_1_DAY_L7 (requires historical rolling calculation),Blocking: historical data needed
—,—,ACTIVE_4_7_DAYS_L7,SLV_USER_ACTIVE_DAYS,—,—,GAP,High,Count of users active 4-7 days in last 7 days; requires historical rolling window calculation,BR-034,GAP-015,NULL AS ACTIVE_4_7_DAYS_L7 (requires historical rolling calculation),Blocking: historical data needed
—,—,ACTIVE_1_DAY_L28,SLV_USER_ACTIVE_DAYS,—,—,GAP,High,Count of users active 1 day in last 28 days; requires historical rolling window calculation,BR-035,GAP-016,NULL AS ACTIVE_1_DAY_L28 (requires historical rolling calculation),Blocking: historical data needed
—,—,ACTIVE_16PLUS_DAYS_L28,SLV_USER_ACTIVE_DAYS,—,—,GAP,High,Count of users active 16+ days in last 28 days; requires historical rolling window calculation,BR-036,GAP-017,NULL AS ACTIVE_16PLUS_DAYS_L28 (requires historical rolling calculation),Blocking: historical data needed
—,—,USERS_ACTIVE_4_7_DAYS,SLV_WEEKLY_METRICS,—,—,GAP,Low,Count of users active 4-7 days in reporting window; requires rolling window calculation,BR-037,GAP-022,NULL AS USERS_ACTIVE_4_7_DAYS (requires historical rolling calculation),Requires historical data
